"#","Team Name","User","Points","League Rank","Record"
"425","jmcunningham","jmcunningham","179.60","1","2-0-0"
"426","Dawg Pound","fillerk","179.60","1","2-0-0"
"427","thenotoriousdip","thenotoriousdip","179.56","1","2-0-0"
"428","The Vinegar Strokes","beagles7","179.56","1","2-0-0"
"429","ecr5114","ecr5114","179.56","1","2-0-0"
"430","No Punt Intended","thenewkirkian","179.54","1","2-0-0"
"431","Steamy Nicks","bassforyourface","179.52","1","2-0-0"
"432","Floppy Wiener","adam8643","179.52","1","2-0-0"
"433","The Waterboy","theconsistency","179.46","2","2-0-0"
"434","No Punt Intended","cmichael88","179.44","1","2-0-0"
"435","Tate’d Boutte Love","lordhavemercy04","179.40","1","2-0-0"
"436","Tough Cookies","spiderbud","179.40","1","2-0-0"
"437","thewunderkiid","thewunderkiid","179.36","1","2-0-0"
"438","Nevermore","dhuds","179.26","1","2-0-0"
"439","javierayala","javierayala","179.22","1","2-0-0"
"440","k3n","k3n","179.14","1","2-0-0"
"441","New Beginnings","byrnie","179.06","1","2-0-0"
"442","jackie_daytona","jackie_daytona","179.04","2","2-0-0"
"443","My God, that’s JSN Bourne","gunnarjackson","179.00","1","2-0-0"
"444","Taylor Made Jeantlemen","vandy89","179.00","1","2-0-0"
"445","Davante Fitzgerald","cemd8899","178.90","1","2-0-0"
"446","Rippin’ Darts","taylordez","178.90","1","2-0-0"
"447","lumpphish","lumpphish","178.76","1","2-0-0"
"448","n3150n","n3150n","178.70","1","2-0-0"
"449","orangecrush5858","orangecrush5858","178.66","1","2-0-0"
"450","The Trevorending Story","warrior1632","178.60","1","2-0-0"
"451","redwoody243","redwoody243","178.60","1","2-0-0"
"452","Team Belt 2 Ass","daddylongnose03","178.56","1","2-0-0"
"453","DOP Duffers","stevebruss","178.52","1","2-0-0"
"454","joeburrowexotic","joeburrowexotic","178.50","1","2-0-0"
"455","jbrandt20","jbrandt20","178.50","1","2-0-0"
"456","zachwilsonzmom","zachwilsonzmom","178.46","1","2-0-0"
"457","northofzero","northofzero","178.46","1","2-0-0"
"458","To Infinity & Bijan 🚀","bglover48","178.46","1","2-0-0"
"459","steelers4lyfe69","steelers4lyfe69","178.46","1","2-0-0"
